Season,SamplingDate,MitePressure,Block,Irrigation,Cultivar,Inoculum,Plant,RootsMp,RootsNone,TotalRoots,PercentRootsMp,CrownMp,CrownNone,TotalCrown,PercentCrownMp,Random
2020,6/28/2021,High,1,Low,Fronteras,Control,1,NA,NA,NA,NA,3,0,8,37.5,no
2020,6/28/2021,High,1,Low,Fronteras,Control,9,NA,NA,NA,NA,7,0,8,87.5,no
2020,6/28/2021,High,1,Low,Fronteras,Inoculated,7,NA,NA,NA,NA,5,0,8,62.5,no
2020,6/28/2021,High,1,Low,Fronteras,Inoculated,30,NA,NA,NA,NA,8,0,8,100,no
2020,6/28/2021,High,1,Low,Monterey,Control,14,NA,NA,NA,NA,0,0,8,0,no
2020,6/28/2021,High,1,Low,Monterey,Control,6,NA,NA,NA,NA,4,0,8,50,no
2020,6/28/2021,High,1,Low,Monterey,Control,25,NA,NA,NA,NA,8,0,8,100,no
2020,6/28/2021,High,1,Low,Monterey,Inoculated,27,NA,NA,NA,NA,2,0,8,25,no
2020,6/28/2021,High,1,Low,Monterey,Inoculated,17,NA,NA,NA,NA,5,0,8,62.5,no
2020,6/28/2021,High,1,Low,Monterey,Inoculated,9,NA,NA,NA,NA,7,0,8,87.5,no
2020,6/28/2021,High,2,High,Fronteras,Control,6,NA,NA,NA,NA,3,0,8,37.5,no
2020,6/28/2021,High,2,High,Fronteras,Inoculated,29,NA,NA,NA,NA,4,0,8,50,no
2020,6/28/2021,High,2,High,Monterey,Control,1,NA,NA,NA,NA,0,0,8,0,no
2020,6/28/2021,High,2,High,Monterey,Control,15,NA,NA,NA,NA,0,0,8,0,no
2020,6/28/2021,High,2,High,Monterey,Control,4,NA,NA,NA,NA,5,0,8,62.5,no
2020,6/28/2021,High,2,High,Monterey,Inoculated,29,NA,NA,NA,NA,1,0,8,12.5,no
2020,6/28/2021,High,2,High,Monterey,Inoculated,3,NA,NA,NA,NA,8,0,8,100,no
2020,6/28/2021,High,2,High,Monterey,Inoculated,22,NA,NA,NA,NA,8,0,8,100,no
2020,6/28/2021,Low,4,High,Fronteras,Control,9,NA,NA,NA,NA,5,0,8,62.5,no
2020,6/28/2021,Low,4,High,Fronteras,Control,29,NA,NA,NA,NA,6,0,8,75,no
2020,6/28/2021,Low,4,High,Fronteras,Inoculated,13,NA,NA,NA,NA,3,0,8,37.5,no
2020,6/28/2021,Low,4,High,Fronteras,Inoculated,21,NA,NA,NA,NA,5,0,8,62.5,no
2020,6/28/2021,Low,4,High,Fronteras,Inoculated,3,NA,NA,NA,NA,7,0,8,87.5,no
2020,6/28/2021,Low,4,High,Monterey,Control,5,NA,NA,NA,NA,4,0,8,50,no
2020,6/28/2021,Low,4,High,Monterey,Control,13,NA,NA,NA,NA,4,0,8,50,no
2020,6/28/2021,Low,4,High,Monterey,Control,24,NA,NA,NA,NA,7,0,8,87.5,no
2020,6/28/2021,Low,4,High,Monterey,Inoculated,1,NA,NA,NA,NA,4,0,8,50,no
2020,6/28/2021,Low,4,High,Monterey,Inoculated,13,NA,NA,NA,NA,4,0,8,50,no
2020,6/28/2021,Low,4,High,Monterey,Inoculated,29,NA,NA,NA,NA,7,0,8,87.5,no
2020,6/28/2021,Low,4,Low,Fronteras,Control,1,NA,NA,NA,NA,4,0,8,50,no
2020,6/28/2021,Low,4,Low,Fronteras,Control,14,NA,NA,NA,NA,8,0,8,100,no
2020,6/28/2021,Low,4,Low,Fronteras,Inoculated,9,NA,NA,NA,NA,4,0,8,50,no
2020,6/28/2021,Low,4,Low,Fronteras,Inoculated,22,NA,NA,NA,NA,7,0,8,87.5,no
2020,6/28/2021,Low,4,Low,Fronteras,Inoculated,1,NA,NA,NA,NA,8,0,8,100,no
2020,6/28/2021,Low,4,Low,Monterey,Control,1,NA,NA,NA,NA,1,0,8,12.5,no
2020,6/28/2021,Low,4,Low,Monterey,Control,18,NA,NA,NA,NA,5,0,8,62.5,no
2020,6/28/2021,Low,4,Low,Monterey,Control,30,NA,NA,NA,NA,5,0,8,62.5,no
2020,6/28/2021,Low,4,Low,Monterey,Inoculated,1,NA,NA,NA,NA,4,0,8,50,no
2020,6/28/2021,Low,4,Low,Monterey,Inoculated,26,NA,NA,NA,NA,5,0,8,62.5,no
2020,6/28/2021,Low,4,Low,Monterey,Inoculated,11,NA,NA,NA,NA,6,0,8,75,no
2020,6/28/2021,High,1,Low,Fronteras,Control,27,1,0,20,5,5,0,8,62.5,yes
2020,6/28/2021,High,1,Low,Fronteras,Inoculated,15,0,0,20,0,8,0,8,100,yes
2020,6/28/2021,High,1,Low,Monterey,Control,11,2,0,20,10,0,0,8,0,yes
2020,6/28/2021,High,1,Low,Monterey,Inoculated,2,2,0,20,10,6,0,8,75,yes
2020,6/28/2021,High,2,High,Fronteras,Control,23,0,0,20,0,4,0,8,50,yes
2020,6/28/2021,High,2,High,Fronteras,Inoculated,3,2,0,23,8.695652174,0,0,8,0,yes
2020,6/28/2021,High,2,High,Monterey,Control,26,0,0,20,0,0,0,8,0,yes
2020,6/28/2021,High,2,High,Monterey,Inoculated,27,2,0,20,10,0,0,8,0,yes